Notes,Start kHz,Stop kHz,BandPlan,Status,Type,Repeaters,Beacons,Max BW Hz,Satellite,All Modes,Telegraphy,DV,AM,FM,SSB,MGM,ADIF Band,Pband,ITU
,40000,45000,,Planned,Band,,,,,,,,,,,,8m,40 MHz,VHF
,50000,50030,Synchronized Beacon Project,Official,SubBand,,Y,500,,N,Y,N,N,N,N,N,6m,50 MHz,VHF
,50050,50050,Future Intercontinental center of activity,Official,SubBand,,,500,,N,Y,N,N,N,N,N,6m,50 MHz,VHF
,50090,50090,Intercontinental center of activity,Official,SubBand,,,500,,N,Y,N,N,N,N,N,6m,50 MHz,VHF
,50000,50100,,Official,SubBand,,,500,,N,Y,N,N,N,N,N,6m,50 MHz,VHF
,50110,50110,Intercontinental center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,N,6m,50 MHz,VHF
,50100,50130,Intercontinental section,Official,SubBand,,,2700,,N,Y,N,N,N,Y,N,6m,50 MHz,VHF
,50150,50150,International center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,N,6m,50 MHz,VHF
,50130,50200,International section,Official,SubBand,,,2700,,N,Y,N,N,N,Y,N,6m,50 MHz,VHF
,50285,50285,Cross band usage,Official,SubBand,,,2700,,N,Y,N,N,N,Y,N,6m,50 MHz,VHF
,50200,50300,,Official,SubBand,,,2700,,N,Y,N,N,N,Y,N,6m,50 MHz,VHF
,50305,50305,PSK center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,6m,50 MHz,VHF
,50310,50320,EME center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,6m,50 MHz,VHF
,50320,50380,MS center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,6m,50 MHz,VHF
,50300,50400,,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,6m,50 MHz,VHF
,50400,50500,Beacons,Official,SubBand,,Y,1000,,N,Y,N,N,N,N,Y,6m,50 MHz,VHF
,50540,50580,Simplex Internet Voice Gateways,Official,SubBand,,,,,Y,N,N,N,N,N,N,6m,50 MHz,VHF
,50630,50630,DV calling,Official,SubBand,,,,,Y,N,N,N,N,N,N,6m,50 MHz,VHF
,50600,50700,Digital communications,Official,SubBand,,,,,Y,N,N,N,N,N,N,6m,50 MHz,VHF
,50500,50700,,Official,SubBand,,,,,Y,N,N,N,N,N,N,6m,50 MHz,VHF
,50710,50890,Repeater output channels,Official,SubBand,Y,,12000,,N,N,Y,N,Y,N,N,6m,50 MHz,VHF
,50700,50900,,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,6m,50 MHz,VHF
,50900,51200,Wideband digital experiments,Official,SubBand,,,,,Y,N,N,N,N,N,N,6m,50 MHz,VHF
,51210,51390,Repeater input channels,Official,SubBand,Y,,12000,,N,N,Y,N,Y,N,N,6m,50 MHz,VHF
,51200,51400,,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,6m,50 MHz,VHF
,51510,51510,FM calling,Official,SubBand,,,,,N,N,N,N,Y,N,N,6m,50 MHz,VHF
,51410,51590,Simplex,Official,SubBand,,,,,N,N,Y,N,Y,N,N,6m,50 MHz,VHF
,51810,51990,Repeater output channels,Official,SubBand,Y,,,,N,N,Y,N,Y,N,N,6m,50 MHz,VHF
,51400,52000,,Official,SubBand,,,,,Y,N,N,N,N,N,N,6m,50 MHz,VHF
,52000,54000,,Official,SubBand,,,500000,,Y,N,N,N,N,N,N,6m,50 MHz,VHF
,50000,54000,,Official,Band,,,,,,,,N,,,,6m,50 MHz,VHF
,54000,69900,,Planned,Band,,,,,,,,,,,,5m,54 MHz,VHF
,70000,70090,Beacons,Official,SubBand,,Y,1000,,N,Y,N,N,N,N,Y,4m,70 MHz,VHF
,70090,70100,Beacons Temporary and Personal,Official,SubBand,,Y,1000,,N,Y,N,N,N,N,Y,4m,70 MHz,VHF
,70185,70185,Cross band center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,4m,70 MHz,VHF
,70200,70200,Telegraphy/SSB center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,4m,70 MHz,VHF
,70250,70250,MS center of activity,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,4m,70 MHz,VHF
,70100,70250,,Official,SubBand,,,2700,,N,Y,N,N,N,Y,Y,4m,70 MHz,VHF
,70260,70260,AM/FM calling,Official,SubBand,,,12000,,N,N,N,Y,Y,N,N,4m,70 MHz,VHF
,70270,70270,MGM center of activity,Official,SubBand,,,12000,,N,N,N,Y,Y,N,N,4m,70 MHz,VHF
,70250,70294,,Official,SubBand,,,12000,,N,N,N,Y,Y,N,N,4m,70 MHz,VHF
,70312.5,70312.5,Digital communications,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,4m,70 MHz,VHF
,70325,70325,Digital communications,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,4m,70 MHz,VHF
,70450,70450,FM calling,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,4m,70 MHz,VHF
,70462.5,70462.5,FM calling,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,4m,70 MHz,VHF
,70475,70475,FM calling,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,4m,70 MHz,VHF
,70487.5,70487.5,Digital communications,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,4m,70 MHz,VHF
,70294,70500,,Official,SubBand,,,12000,,N,N,Y,N,Y,N,N,4m,70 MHz,VHF
,70000,70500,,Official,Band,,,,,,,,,,,,4m,70 MHz,VHF
,144000,144025,Satellite Downlink,Official,SubBand,,,2700,Y,,,,,,,,2m,145 MHz,VHF
,144050,144050,Center of activity,Official,SubBand,,,500,,,Y,,,,,,2m,145 MHz,VHF
,144100,144100,Random MS,Official,SubBand,,,500,,,Y,,,,,,2m,145 MHz,VHF
,144025,144100,,Official,SubBand,,,500,,,Y,,,,,,2m,145 MHz,VHF
,144110,144160,CW and MGM EME,Official,SubBand,,,500,,,Y,,,,,Y,2m,145 MHz,VHF
,144100,144150,,Official,SubBand,,,500,,,Y,,,,,Y,2m,145 MHz,VHF
,144300,144300,SSB center of activity,Official,SubBand,,,2700,,,,,,,Y,,2m,145 MHz,VHF
,144150,144400,,Official,SubBand,,,2700,,,Y,,,,Y,Y,2m,145 MHz,VHF
,144400,144490,Beacons,Official,SubBand,,Y,500,,,Y,,,,,Y,2m,145 MHz,VHF
,144491,144493,"Personal weak signal beacons, experimental MGM",Official,SubBand,,Y,500,,,Y,,,,,Y,2m,145 MHz,VHF
,144500,144500,"Image center (SSTV, FAX, …)",Official,SubBand,,,20000,,Y,,,,,,,2m,145 MHz,VHF
,144600,144600,"Data center (MGM, RTTY, …)",Official,SubBand,,,20000,,Y,,,,,,Y,2m,145 MHz,VHF
